Прибор: ;Опорный барометр (01); ; Интервал: ;2023-02-09 00:00:00; / ;2023-03-09 00:00:00;
Date;weather_temp_mediana;weather_temp;weather_pressure_mediana;weather_pressure;RTC_time;RTC_date;BMP280_8_temp;BMP280_8_pressure;BMP280_7_temp;BMP280_7_pressure;BMP280_6_temp;BMP280_6_pressure;BMP280_5_temp;BMP280_5_pressure;BMP280_4_temp;BMP280_4_pressure;BMP280_3_temp;BMP280_3_pressure;BMP280_2_temp;BMP280_2_pressure;BMP280_1_temp;BMP280_1_pressure;BMP280_0_temp;BMP280_0_pressure;
2023-02-21 14:56:25;26.3;26.36;731.83;731.9;14:55:00;2023-02-21;26.7;732.93;26.57;732.32;26.46;732.18;26.36;731.93;26.3;731.83;26.28;731.75;26.24;731.63;26.22;731.49;26.13;731.02;
2023-02-21 14:57:26;26.36;26.41;731.85;731.91;14:56:01;2023-02-21;26.75;732.92;26.62;732.35;26.5;732.19;26.42;731.92;26.36;731.85;26.34;731.74;26.29;731.63;26.27;731.5;26.17;731.05;
2023-02-21 14:58:25;26.4;26.46;731.84;731.9;14:57:00;2023-02-21;26.8;732.91;26.67;732.33;26.57;732.21;26.46;731.9;26.4;731.84;26.38;731.73;26.34;731.64;26.32;731.51;26.22;731.02;
2023-02-21 14:59:26;26.44;26.51;731.84;731.91;14:58:01;2023-02-21;26.85;732.91;26.71;732.34;26.6;732.25;26.51;731.92;26.44;731.84;26.43;731.73;26.38;731.63;26.36;731.5;26.27;731.05;
2023-02-21 15:00:27;26.49;26.55;731.8;731.9;14:59:01;2023-02-21;26.89;732.94;26.76;732.33;26.65;732.2;26.55;731.93;26.49;731.8;26.46;731.74;26.42;731.65;26.41;731.5;26.31;731.05;
2023-02-21 15:01:26;26.53;26.59;731.85;731.92;15:00:00;2023-02-21;26.93;732.96;26.8;732.34;26.69;732.2;26.59;731.92;26.53;731.85;26.52;731.76;26.47;731.65;26.44;731.52;26.35;731.03;
2023-02-21 15:02:27;26.57;26.63;731.87;731.95;15:01:01;2023-02-21;26.97;732.95;26.84;732.37;26.73;732.28;26.62;731.99;26.57;731.87;26.55;731.77;26.51;731.66;26.48;731.55;26.39;731.06;
2023-02-21 15:03:25;26.6;26.67;731.85;731.94;15:02:00;2023-02-21;27.02;732.95;26.88;732.36;26.76;732.25;26.66;731.97;26.6;731.85;26.59;731.79;26.55;731.68;26.52;731.54;26.43;731.08;
2023-02-21 15:04:26;26.64;26.7;731.86;731.95;15:03:01;2023-02-21;27.05;732.96;26.92;732.38;26.79;732.28;26.7;731.99;26.64;731.86;26.63;731.78;26.59;731.68;26.55;731.53;26.47;731.08;
2023-02-21 15:05:25;26.68;26.75;731.87;731.95;15:04:00;2023-02-21;27.09;732.98;26.97;732.38;26.84;732.26;26.74;731.97;26.68;731.87;26.66;731.81;26.63;731.67;26.59;731.53;26.51;731.08;
2023-02-21 15:06:26;26.72;26.77;731.86;731.95;15:05:00;2023-02-21;27.12;732.98;26.99;732.37;26.87;732.27;26.77;731.98;26.72;731.86;26.69;731.8;26.66;731.68;26.62;731.54;26.53;731.09;
2023-02-21 15:07:27;26.75;26.81;731.87;731.96;15:06:01;2023-02-21;27.16;732.98;27.02;732.39;26.91;732.25;26.8;731.98;26.75;731.87;26.73;731.8;26.69;731.7;26.66;731.59;26.57;731.1;
2023-02-21 15:08:25;26.78;26.84;731.86;731.96;15:07:00;2023-02-21;27.19;732.99;27.06;732.39;26.93;732.25;26.84;731.98;26.78;731.86;26.75;731.81;26.72;731.7;26.7;731.55;26.61;731.1;
2023-02-21 15:09:26;26.8;26.87;731.86;731.94;15:08:01;2023-02-21;27.21;732.97;27.08;732.36;26.96;732.23;26.86;731.98;26.8;731.86;26.78;731.8;26.75;731.68;26.72;731.54;26.63;731.08;
2023-02-21 15:10:25;26.81;26.88;731.84;731.93;15:09:00;2023-02-21;27.23;732.96;27.09;732.37;26.97;732.22;26.87;731.97;26.81;731.84;26.8;731.78;26.77;731.66;26.73;731.54;26.65;731.05;
2023-02-21 15:11:26;26.83;26.9;731.82;731.93;15:10:01;2023-02-21;27.25;732.96;27.11;732.41;27;732.23;26.89;731.94;26.83;731.82;26.81;731.76;26.78;731.64;26.73;731.54;26.67;731.07;
2023-02-21 15:12:25;26.85;26.92;731.87;731.97;15:11:00;2023-02-21;27.27;732.99;27.14;732.41;27.01;732.25;26.92;732.01;26.85;731.87;26.84;731.84;26.81;731.71;26.77;731.57;26.7;731.11;
2023-02-21 15:13:26;26.88;26.95;731.87;731.98;15:12:01;2023-02-21;27.31;733;27.18;732.41;27.04;732.28;26.94;732.01;26.88;731.87;26.86;731.83;26.84;731.71;26.81;731.58;26.73;731.09;
2023-02-21 15:14:27;26.91;26.98;731.86;731.97;15:13:01;2023-02-21;27.33;733;27.2;732.41;27.07;732.27;26.98;731.98;26.91;731.86;26.89;731.83;26.88;731.73;26.83;731.54;26.76;731.1;
2023-02-21 15:15:25;26.93;27.01;731.86;731.98;15:14:00;2023-02-21;27.36;733;27.24;732.4;27.09;732.29;26.99;732.05;26.93;731.86;26.91;731.82;26.91;731.71;26.85;731.58;26.78;731.07;
2023-02-21 15:16:26;26.95;27.03;731.87;731.98;15:15:01;2023-02-21;27.38;733;27.26;732.42;27.11;732.31;27.02;732.02;26.95;731.87;26.95;731.84;26.94;731.69;26.88;731.58;26.8;731.11;
2023-02-21 15:17:25;26.98;27.05;731.92;732;15:16:00;2023-02-21;27.39;733.02;27.28;732.42;27.14;732.29;27.05;732.04;26.98;731.92;26.97;731.86;26.96;731.71;26.9;731.62;26.82;731.12;
2023-02-21 15:18:26;27;27.08;731.9;732.01;15:17:01;2023-02-21;27.42;733.05;27.31;732.43;27.15;732.34;27.07;732.08;27;731.9;26.99;731.87;26.98;731.71;26.92;731.62;26.85;731.13;
2023-02-21 15:19:27;27.02;27.1;731.91;732.01;15:18:02;2023-02-21;27.45;733.03;27.33;732.43;27.18;732.33;27.09;732.06;27.02;731.91;27.01;731.86;27;731.74;26.95;731.62;26.87;731.12;
