Прибор: ;Паскаль (01); ; Интервал: ;2023-02-21 00:00:00; / ;2023-03-08 00:00:00;
Date;weather_temp;weather_pressure;
2023-02-21 14:58:46;32.68;747.09;
2023-02-21 14:59:49;32.68;746.92;
2023-02-21 15:00:55;32.71;746.95;
2023-02-21 15:01:58;32.62;746.94;
2023-02-21 15:02:57;32.63;746.88;
2023-02-21 15:04:00;32.64;746.87;
2023-02-21 15:05:04;32.65;746.87;
2023-02-21 15:06:07;32.65;746.9;
2023-02-21 15:07:10;32.65;746.93;
2023-02-21 15:08:14;32.65;747;
2023-02-21 15:09:17;32.63;746.89;
2023-02-21 15:10:21;32.62;746.92;
2023-02-21 15:11:24;32.65;746.82;
2023-02-21 15:12:27;32.63;746.89;
2023-02-21 15:13:31;32.51;746.94;
2023-02-21 15:14:34;32.49;746.88;
2023-02-21 15:15:38;32.41;746.8;
2023-02-21 15:16:41;32.31;746.85;
2023-02-21 15:17:44;32.3;746.81;
2023-02-21 15:18:48;32.26;746.7;
2023-02-21 15:19:52;32.24;746.56;
2023-02-21 15:20:55;32.2;746.63;
2023-02-21 15:21:59;32.17;746.6;
2023-02-21 15:23:02;32.07;746.59;
2023-02-21 15:24:05;31.99;746.71;
2023-02-21 15:25:09;31.97;746.55;
2023-02-21 15:26:12;31.85;746.71;
2023-02-21 15:27:16;31.75;746.69;
2023-02-21 15:28:19;31.75;746.65;
2023-02-21 15:29:22;31.69;746.64;
2023-02-21 15:30:26;31.67;746.67;
2023-02-21 15:31:29;31.59;746.74;
2023-02-21 15:32:32;31.54;746.95;
2023-02-21 15:33:36;31.53;746.69;
2023-02-21 15:34:39;31.47;746.68;
2023-02-21 15:35:42;31.42;746.72;
2023-02-21 15:36:46;31.37;746.77;
2023-02-21 15:37:49;31.31;746.66;
2023-02-21 15:38:52;31.28;746.67;
2023-02-21 15:39:56;31.22;746.62;
2023-02-21 15:40:59;31.22;746.79;
2023-02-21 15:42:02;31.21;746.73;
2023-02-21 15:43:06;31.15;746.63;
2023-02-21 15:44:09;31.03;746.78;
2023-02-21 15:45:13;31.02;746.68;
2023-02-21 15:46:16;30.93;746.74;
2023-02-21 15:47:19;30.92;746.84;
2023-02-21 15:48:23;30.9;746.68;
2023-02-21 15:49:23;30.88;746.75;
2023-02-21 15:50:26;30.77;746.78;
2023-02-21 15:51:30;30.83;746.83;
2023-02-21 15:52:33;30.84;746.85;
2023-02-21 15:53:36;30.82;746.72;
2023-02-21 15:54:39;30.75;746.82;
2023-02-21 15:55:43;30.73;746.76;
2023-02-21 15:56:46;30.71;746.82;
2023-02-21 15:57:49;30.72;746.69;
2023-02-21 15:58:52;30.73;746.77;
2023-02-21 15:59:56;30.74;746.73;
2023-02-21 16:00:59;30.76;746.78;
2023-02-21 16:02:02;30.77;746.79;
2023-02-21 16:03:06;30.77;746.72;
2023-02-21 16:04:09;30.73;746.67;
2023-02-21 16:05:12;30.71;746.77;
2023-02-21 16:06:16;30.68;746.73;
2023-02-21 16:07:19;30.63;746.65;
2023-02-21 16:08:22;30.67;746.63;
2023-02-21 16:09:26;30.64;746.73;
2023-02-21 16:10:29;30.63;746.66;
2023-02-21 16:11:32;30.62;746.74;
2023-02-21 16:12:36;30.46;746.77;
2023-02-21 16:13:39;30.43;746.69;
2023-02-21 16:14:42;30.41;746.76;
2023-02-21 16:15:45;30.37;746.68;
2023-02-21 16:16:49;30.32;746.57;
2023-02-21 16:17:52;30.25;746.62;
2023-02-21 16:18:55;30.24;746.62;
2023-02-21 16:19:59;30.24;746.67;
2023-02-21 16:21:02;30.24;746.6;
2023-02-21 16:22:05;30.24;746.57;
2023-02-21 16:23:09;30.17;746.56;
2023-02-21 16:24:12;30.07;746.6;
2023-02-21 16:25:15;30.02;746.59;
2023-02-21 16:26:18;30;746.66;
2023-02-21 16:27:22;29.95;746.62;
2023-02-21 16:28:25;29.91;746.53;
2023-02-21 16:29:28;29.88;746.76;
2023-02-21 16:30:32;29.87;746.62;
2023-02-21 16:31:35;29.84;746.59;
2023-02-21 16:32:38;29.84;746.47;
2023-02-21 16:33:41;29.82;746.49;
2023-02-21 16:34:45;29.82;746.48;
2023-02-21 16:35:48;29.81;746.47;
2023-02-21 16:36:51;29.77;746.5;
2023-02-21 16:37:55;29.76;746.52;
2023-02-21 16:38:59;29.77;746.52;
2023-02-21 16:40:02;29.78;746.35;
2023-02-21 16:41:05;29.74;746.37;
2023-02-21 16:42:09;29.74;746.38;
2023-02-21 16:43:12;29.68;746.32;
2023-02-21 16:44:16;29.71;746.21;
2023-02-21 16:45:19;29.65;746.3;
2023-02-21 16:46:22;29.63;746.31;
2023-02-21 16:47:25;29.51;746.29;
2023-02-21 16:48:29;29.47;746.35;
2023-02-21 16:49:33;29.42;746.3;
2023-02-21 16:50:32;29.35;746.36;
2023-02-21 16:51:36;29.35;746.37;
2023-02-21 16:52:39;29.33;746.2;
2023-02-21 16:53:42;29.29;746.33;
2023-02-21 16:54:46;29.27;746.34;
2023-02-21 16:55:49;29.21;746.33;
2023-02-21 16:56:53;29.25;746.39;
2023-02-21 16:57:57;29.26;746.3;
2023-02-21 16:59:00;29.22;746.23;
2023-02-21 17:00:03;29.24;746.23;
2023-02-21 17:01:07;29.25;746.27;
