Прибор: ;Роса-К-1 (01); ; Интервал: ;2023-02-09 00:00:00; / ;2023-03-09 00:00:00;
Date;weather_temp;weather_pressure;weather_humidity;soil_soilT;soil_soilH;light_lux;light_blink;color_tempCT;color_redC;color_lux;color_ir;color_greenC;color_clearC;color_blueC;
2023-02-21 15:00:00;27.33;745.4;29.17;26.19;17661;110.83;0;4912.01;2584;56.64;1303;2386;7357;2388;
2023-02-21 15:02:22;27.33;745.5;29.2;26.19;17661;110.83;0;4897.11;2683;58.78;1350;2472;7623;2469;
2023-02-21 15:03:20;27.31;745.45;29.14;26.25;17667;110.83;0;4907.48;2635;57.7;1336;2430;7497;2432;
2023-02-21 15:04:17;27.3;745.41;29.16;26.13;17662;110.83;0;4910.59;2532;55.38;1283;2334;7204;2339;
2023-02-21 15:05:15;27.29;745.43;29.21;26.19;17666;110.83;0;4910.05;2475;54.09;1252;2280;7041;2286;
2023-02-21 15:06:13;27.28;745.48;29.25;26.06;17655;110.83;0;4908.87;2478;54.1;1258;2281;7047;2288;
2023-02-21 15:07:10;27.26;745.52;29.28;26.06;17665;110.83;0;4915.72;2444;53.3;1248;2250;6955;2261;
2023-02-21 15:08:08;27.25;745.49;29.25;26.06;17661;110.83;0;4918.6;2415;52.67;1230;2224;6874;2236;
2023-02-21 15:09:05;27.25;745.5;29.27;26.13;17666;110.83;0;4922.6;2436;53.14;1246;2245;6938;2258;
2023-02-21 15:10:03;27.24;745.51;29.33;26.19;17666;110.83;0;4921.64;2414;52.68;1233;2225;6875;2237;
2023-02-21 15:11:01;27.23;745.39;29.27;26.19;17666;110.83;0;4919.6;2410;52.67;1226;2223;6865;2232;
2023-02-21 15:11:59;27.23;745.47;29.34;26.06;17662;110.83;0;4911.26;2459;53.71;1251;2265;6995;2272;
2023-02-21 15:12:56;27.22;745.38;29.3;26.06;17659;110.83;0;4916.51;2424;53.04;1231;2237;6903;2243;
2023-02-21 15:13:54;27.22;745.39;29.34;26.06;17662;110.83;0;4913.77;2454;53.77;1239;2266;6988;2269;
2023-02-21 15:14:52;27.21;745.56;29.36;26.19;17664;110.83;0;4920.85;2448;53.72;1247;2265;6980;2268;
2023-02-21 15:15:49;27.21;745.46;29.26;26.13;17662;110.83;0;4914.45;2513;55.14;1272;2323;7159;2324;
2023-02-21 15:16:47;27.2;745.38;29.28;26.13;17667;110.83;0;4905.08;2575;56.45;1302;2376;7326;2375;
2023-02-21 15:17:44;27.19;745.33;29.21;26.13;17665;110.83;0;4897.85;2589;56.73;1306;2386;7358;2383;
2023-02-21 15:18:42;27.19;745.23;29.27;26;17663;110.83;0;4906.89;2552;56.04;1288;2358;7264;2355;
2023-02-21 15:19:39;27.18;745.29;29.25;26;17664;110.83;0;4903.71;2576;56.56;1291;2379;7329;2375;
2023-02-21 15:20:37;27.18;745.14;29.19;26.06;17668;110.83;0;4904.47;2544;55.83;1280;2349;7239;2346;
2023-02-21 15:21:35;27.18;745.06;29.2;26.13;17663;110.83;0;4897.82;2639;57.96;1324;2436;7503;2429;
2023-02-21 15:22:32;27.17;745.11;29.33;26.13;17665;110.83;0;4895.2;2579;56.62;1297;2379;7330;2372;
2023-02-21 15:23:30;27.17;745.17;29.16;26;17665;110.83;0;4886.06;2601;57.08;1303;2396;7382;2386;
2023-02-21 15:24:27;27.17;745.26;29.15;26.06;17661;110.83;0;4889.07;2565;56.33;1287;2365;7285;2355;
2023-02-21 15:25:25;27.16;745.2;29.13;26.13;17664;110.83;0;4881.66;2589;56.86;1298;2385;7346;2372;
2023-02-21 15:26:23;27.16;745.23;29.2;26;17661;110.83;0;4875.79;2636;57.91;1323;2427;7473;2411;
2023-02-21 15:27:21;27.15;745.14;29.2;26;17662;110.83;0;4874.51;2614;57.39;1313;2405;7408;2390;
2023-02-21 15:28:18;27.14;745.23;29.15;26;17664;110.83;0;4868.07;2655;58.26;1332;2440;7517;2423;
2023-02-21 15:29:16;27.13;745.21;29.14;26;17667;110.83;0;4863.63;2733;60;1373;2511;7735;2491;
2023-02-21 15:30:15;27.13;745.25;29.1;26.19;17662;110.83;0;4863.14;2729;59.9;1372;2507;7723;2487;
2023-02-21 15:31:12;27.13;745.2;29;25.94;17666;110.83;0;4862.09;2743;60.19;1375;2519;7761;2499;
2023-02-21 15:32:10;27.13;745.31;28.98;26;17659;110.83;0;4852.42;2809;61.73;1404;2579;7940;2552;
2023-02-21 15:33:08;27.13;745.32;28.98;26;17663;110.83;0;4851.32;2822;61.93;1416;2588;7973;2563;
2023-02-21 15:34:06;27.13;745.25;28.92;26.06;17663;110.83;0;4847.56;2889;63.53;1443;2652;8162;2621;
2023-02-21 15:35:04;27.13;745.35;28.91;25.94;17659;110.83;0;4843.73;2922;64.35;1452;2684;8253;2648;
2023-02-21 15:36:02;27.13;745.43;28.89;25.94;17663;110.83;0;4838.76;2945;64.88;1467;2704;8314;2665;
2023-02-21 15:37:01;27.13;745.32;28.88;25.94;17663;110.83;0;4835.53;2919;64.34;1447;2680;8238;2639;
2023-02-21 15:37:59;27.13;745.28;28.84;25.88;17664;110.83;0;4832.76;2866;63.19;1423;2631;8086;2589;
2023-02-21 15:38:56;27.13;745.43;28.82;26.06;17662;110.83;0;4829.61;2893;63.83;1433;2656;8160;2611;
2023-02-21 15:39:54;27.13;745.28;28.83;26.06;17662;110.83;0;4829.07;2899;63.95;1437;2661;8175;2616;
2023-02-21 15:40:51;27.13;745.3;28.81;25.94;17668;110.83;0;4824.26;2862;63.12;1419;2625;8066;2579;
2023-02-21 15:41:49;27.13;745.26;28.8;26.06;17664;110.83;0;4851.35;2321;51.22;1147;2137;6565;2108;
2023-02-21 15:42:47;27.12;745.29;28.82;25.94;17669;110.83;0;4835.87;2473;54.52;1223;2271;6979;2236;
2023-02-21 15:43:44;27.12;745.4;28.78;25.94;17667;110.83;0;4830.14;2517;55.47;1250;2309;7098;2272;
2023-02-21 15:44:42;27.1;745.35;28.75;25.94;17666;110.83;0;4838.37;2406;53.11;1191;2212;6795;2177;
2023-02-21 15:45:39;27.11;745.44;28.76;25.94;17664;110.83;0;4811;2794;61.58;1390;2557;7858;2508;
2023-02-21 15:46:37;27.09;745.39;28.77;26;17665;110.83;0;4824.05;2537;55.92;1260;2326;7148;2286;
2023-02-21 15:47:35;27.08;745.39;28.77;25.94;17668;110.83;0;4824.32;2559;56.43;1273;2347;7212;2306;
2023-02-21 15:48:33;27.07;745.33;28.79;25.88;17664;110.83;0;4818.82;2592;57.17;1286;2376;7300;2332;
2023-02-21 15:49:30;27.07;745.4;28.76;26;17667;110.83;0;4807.86;2636;58.04;1315;2410;7410;2364;
2023-02-21 15:50:28;27.06;745.41;28.77;25.94;17661;110.83;0;4811.87;2438;53.71;1211;2231;6857;2189;
2023-02-21 15:51:25;27.05;745.42;28.78;26;17664;110.83;0;4798.26;2734;60.25;1359;2498;7676;2445;
2023-02-21 15:52:23;27.03;745.33;28.77;25.94;17661;110.83;0;4790.8;2805;61.9;1396;2563;7870;2503;
2023-02-21 15:53:20;27.01;745.5;28.8;25.94;17664;110.83;0;4794.02;2640;58.22;1310;2412;7410;2358;
2023-02-21 15:54:18;27;745.44;28.81;25.94;17659;110.83;0;4789.66;2612;57.53;1301;2383;7325;2330;
2023-02-21 15:55:16;27;745.44;28.79;26;17663;110.83;0;4784.23;2578;56.87;1274;2353;7226;2296;
2023-02-21 15:56:14;27;745.39;28.79;25.94;17662;110.83;0;4780.33;2545;56.12;1258;2321;7130;2264;
2023-02-21 15:57:12;27;745.4;28.8;25.94;17669;110.83;0;4762.96;2705;59.63;1335;2461;7560;2394;
2023-02-21 15:58:09;27.01;745.39;28.78;25.94;17665;110.83;0;4757.61;2681;59.12;1320;2438;7487;2369;
2023-02-21 15:59:07;27;745.3;28.77;25.88;17666;110.83;0;4758.18;2650;58.44;1302;2410;7401;2342;
2023-02-21 16:00:07;26.99;745.31;28.78;25.94;17655;110.83;0;4741.98;2764;61.04;1360;2511;7706;2431;
2023-02-21 16:01:05;27;745.37;28.78;25.94;17664;110.83;0;4739.39;2732;60.26;1345;2479;7611;2401;
2023-02-21 16:02:03;27;745.35;28.77;25.94;17664;110.83;0;4732.69;2758;60.92;1354;2503;7679;2419;
2023-02-21 16:03:00;26.99;745.32;28.78;25.88;17664;110.83;0;4730.94;2691;59.39;1319;2440;7489;2359;
2023-02-21 16:03:58;26.98;745.33;28.79;25.88;17664;110.83;0;4717.41;2789;61.6;1366;2526;7749;2435;
2023-02-21 16:04:55;26.96;745.3;28.81;25.94;17661;110.83;0;4712.78;2825;62.33;1389;2555;7842;2463;
2023-02-21 16:05:53;26.96;745.37;28.82;25.88;17665;110.83;0;4708.5;2785;61.39;1369;2516;7726;2425;
2023-02-21 16:06:51;26.94;745.24;28.83;25.94;17665;110.83;0;4692.31;2936;64.69;1448;2646;8126;2544;
2023-02-21 16:07:48;26.94;745.32;28.83;25.88;17664;110.83;0;4690.26;2872;63.33;1417;2589;7947;2487;
2023-02-21 16:08:46;26.92;745.2;28.84;25.88;17662;110.83;0;4676.13;3056;67.39;1510;2750;8441;2635;
2023-02-21 16:09:43;26.93;745.31;28.84;25.88;17668;110.83;0;4673.95;3000;66.13;1481;2698;8282;2585;
2023-02-21 16:10:41;26.92;745.34;28.83;25.88;17665;110.83;0;4666.88;2946;64.84;1457;2644;8123;2533;
2023-02-21 16:11:38;26.92;745.29;28.84;25.94;17657;110.83;0;4664.34;2925;64.36;1445;2624;8061;2513;
2023-02-21 16:12:36;26.9;745.34;28.9;25.88;17664;110.83;0;4673.88;2790;61.43;1376;2507;7701;2404;
2023-02-21 16:13:34;26.9;745.32;28.9;25.94;17662;110.83;0;4671.02;2739;60.3;1354;2460;7557;2358;
2023-02-21 16:14:31;26.89;745.32;28.87;25.81;17664;110.83;0;4680.09;2538;55.87;1258;2282;7011;2191;
2023-02-21 16:15:29;26.88;745.26;28.9;25.88;17666;110.83;0;4689.78;2370;52.15;1169;2133;6555;2052;
2023-02-21 16:16:26;26.88;745.14;28.9;25.88;17656;110.83;0;4690.97;2256;49.65;1116;2031;6241;1954;
2023-02-21 16:17:24;26.87;745.1;28.88;25.88;17667;110.83;0;4681.9;2312;50.85;1147;2078;6387;1997;
2023-02-21 16:18:21;26.86;745.26;28.89;25.88;17657;110.83;0;4699.87;2144;47.17;1061;1932;5937;1862;
2023-02-21 16:19:19;26.85;745.23;28.93;25.88;17661;110.83;0;4702.84;2065;45.41;1026;1861;5721;1795;
2023-02-21 16:20:17;26.84;745.27;28.89;25.75;17657;110.83;0;4708.61;2066;45.39;1035;1862;5727;1799;
2023-02-21 16:21:14;26.84;745.2;28.9;25.81;17667;110.83;0;4696.39;2099;46.13;1045;1889;5809;1821;
2023-02-21 16:22:12;26.84;745.21;28.92;25.88;17664;110.83;0;4704.13;1963;43.09;983;1767;5436;1707;
2023-02-21 16:23:09;26.83;745.15;28.89;25.81;17665;110.83;0;4684.87;2030;44.57;1012;1823;5607;1755;
2023-02-21 16:24:07;26.8;745.1;28.92;25.88;17668;110.83;0;4733.07;1775;39.01;882;1605;4936;1557;
2023-02-21 16:25:06;26.8;745.26;28.95;25.75;17668;110.83;0;4734.01;1697;37.24;847;1533;4718;1489;
2023-02-21 16:26:06;26.79;745.23;28.94;25.75;17667;110.83;0;4815.54;5387;29.52;2666;4925;15154;4842;
2023-02-21 16:28:04;26.77;745.23;28.96;25.88;17663;110.83;0;4918.88;4065;22.3;1999;3769;11597;3764;
2023-02-21 16:29:02;26.75;745.16;28.98;25.75;17668;110.83;0;4955.91;3793;20.84;1851;3536;10877;3549;
2023-02-21 16:30:02;26.74;745.23;28.98;25.81;17666;110.83;0;5060.11;3164;17.44;1523;2995;9206;3047;
2023-02-21 16:31:01;26.72;745.17;28.99;25.69;17668;110.83;0;5017.78;3348;18.44;1623;3151;9686;3187;
2023-02-21 16:32:00;26.7;745.17;29.02;25.81;17665;110.83;0;5006.04;3459;19.05;1676;3251;9991;3282;
2023-02-21 16:32:58;26.69;745.15;29.03;25.63;17667;110.83;0;4919.23;4016;22.02;1973;3722;11457;3719;
2023-02-21 16:33:57;26.64;745.22;29.07;25.75;17658;110.83;0;4854.87;4403;24.02;2206;4033;12439;4003;
2023-02-21 16:35:55;26.61;745.02;29.08;25.63;17667;110.83;0;4943.93;3646;19.92;1819;3381;10427;3400;
2023-02-21 16:36:54;26.59;745.08;29.09;25.69;17666;110.83;0;4981.02;3360;18.38;1669;3133;9659;3166;
2023-02-21 16:37:52;26.58;745.04;29.11;25.63;17665;110.83;0;5014.82;3172;17.38;1560;2974;9162;3017;
2023-02-21 16:38:51;26.57;745.02;29.14;25.56;17663;110.83;0;5006.27;3150;17.25;1545;2949;9088;2989;
