Прибор: ;РОСА К-2 (01); ; Интервал: ;2023-02-09 00:00:00; / ;2023-03-09 00:00:00;
Date;weather_temp;weather_pressure;weather_humidity;soil_soilT;soil_soilH;light_lux;light_blink;color_tempCT;color_redC;color_lux;color_ir;color_greenC;color_clearC;color_blueC;
2023-02-21 14:50:54;25.58;730.52;28.02;12.5;17602;0;0;5072.54;10262;3366.91;4066;9654;29831;9916;
2023-02-21 14:52:05;25.62;730.5;28.3;12.19;17597;0;0;5118.89;9512;3134.61;3914;9027;27845;9307;
2023-02-21 14:52:48;25.59;730.51;28.65;12.13;17594;0;0;5189.41;8549;2799.85;3543;8149;25221;8523;
2023-02-21 14:53:49;25.57;730.52;28.75;11.44;17604;0;0;5112.67;9144;2975.79;3869;8597;26673;8932;
2023-02-21 14:54:46;25.6;730.55;28.71;-127;17610;0;0;5097.61;9102;2956.27;3850;8530;26487;8855;
2023-02-21 14:55:37;25.59;730.54;28.87;11.81;17608;0;0;5056.65;9185;2953.88;3981;8506;26527;8837;
2023-02-21 14:56:35;25.61;730.56;29.75;12.44;17550;0;0;5076.62;9006;2902.8;3932;8374;26092;8712;
2023-02-21 14:57:33;25.61;730.55;29.68;13;17595;0;0;5013.12;9592;3083.63;4199;8832;27543;9119;
2023-02-21 14:58:31;25.64;730.55;29.85;13.25;17591;0;0;5064.33;9116;2939.66;3959;8466;26371;8789;
2023-02-21 14:59:28;25.65;730.56;29.81;13.13;17592;0;0;5016.47;9477;3047.77;4119;8732;27226;9018;
2023-02-21 15:00:26;25.64;730.55;30.17;13.81;17601;0;0;5054.01;9020;2900.6;3938;8350;26042;8672;
2023-02-21 15:01:23;25.65;730.55;30.42;14.5;17587;0;0;5024.97;9047;2894.91;4009;8316;25991;8629;
2023-02-21 15:02:21;25.65;730.6;30.49;14.44;17579;0;0;5005.8;9330;2996.97;4080;8578;26759;8852;
2023-02-21 15:03:18;25.67;730.58;30.54;14.56;17588;0;0;5017.5;9219;2967.13;4042;8500;26494;8775;
2023-02-21 15:04:16;25.66;730.59;30.54;15;17596;0;0;4962.08;9568;3063.76;4237;8729;27265;8968;
2023-02-21 15:05:13;25.71;730.58;30.69;15.13;17604;0;0;4951.96;9271;2955.94;4176;8422;26358;8665;
2023-02-21 15:06:11;25.7;730.61;30.9;14.94;17602;0;0;5084.05;8340;2697.28;3619;7780;24204;8084;
2023-02-21 15:07:08;25.7;730.62;30.79;14.94;17601;0;0;5136.71;8001;2595.3;3448;7528;23395;7866;
2023-02-21 15:08:06;25.68;730.61;30.93;14.81;17606;0;0;5184.22;7718;2509.35;3302;7316;22718;7684;
2023-02-21 15:09:04;25.64;730.58;31.07;13.75;17582;0;0;5083.17;8310;2686.98;3660;7750;24113;8053;
2023-02-21 15:10:02;25.59;730.6;31.28;12.94;17595;0;0;6348.91;4265;1535.74;1181;4916;14731;5550;
2023-02-21 15:10:59;25.54;730.61;31.62;11.31;17596;0;0;5134.18;7412;2372.02;3269;6908;21601;7282;
2023-02-21 15:11:57;25.39;730.6;31.37;9.5;17589;0;0;5192.89;7516;2435.51;3146;7116;22132;7500;
2023-02-21 15:12:54;25.38;730.58;31.34;10.38;17605;0;0;4943.84;8934;2844.74;3969;8100;25364;8331;
2023-02-21 15:13:52;25.45;730.61;31.67;11.19;17600;0;0;4961.84;8714;2771.74;3828;7913;24794;8167;
2023-02-21 15:14:49;25.44;730.61;31.88;12;17596;0;0;5478.71;6256;2111.08;2365;6297;19264;6712;
2023-02-21 15:15:47;25.44;730.6;32.08;11.75;17590;0;0;5055.76;7765;2491.55;3407;7179;22412;7469;
2023-02-21 15:16:44;25.41;730.62;31.99;12.13;17607;0;0;5084.58;7560;2428.88;3281;7021;21910;7329;
2023-02-21 15:17:41;25.37;730.66;31.82;12.31;17609;0;0;5110.01;7328;2357.76;3176;6834;21315;7153;
2023-02-21 15:18:39;25.34;730.66;32.07;11.75;17600;0;0;5051.16;7857;2525.2;3417;7268;22673;7548;
2023-02-21 15:19:38;25.3;730.65;32.3;12.06;17609;0;0;5012.02;8004;2560.56;3540;7344;22955;7607;
2023-02-21 15:20:36;25.34;730.66;32.28;12.31;17596;0;0;4997.12;7961;2544.92;3528;7287;22783;7535;
2023-02-21 15:21:33;25.34;730.68;32.35;12.63;17593;0;0;5018.81;7821;2510.99;3417;7200;22467;7447;
2023-02-21 15:22:31;25.36;730.7;33.22;13.19;17602;0;0;4968.13;7935;2525.77;3545;7215;22600;7450;
2023-02-21 15:23:28;25.36;730.7;33.15;12.5;17604;0;0;5016.86;7428;2370.37;3306;6808;21305;7069;
2023-02-21 15:24:26;25.3;730.7;33.43;12.56;17587;0;0;5203.29;6669;2159.45;2790;6319;19660;6673;
2023-02-21 15:25:23;25.29;730.71;33.46;11.75;17586;0;0;5008.94;7439;2379.85;3270;6823;21326;7064;
2023-02-21 15:26:21;25.27;730.76;33.88;11.56;17552;0;0;5020;7199;2295.4;3218;6597;20653;6857;
2023-02-21 15:27:18;25.18;730.79;33.92;10.88;17597;0;0;5324.43;5865;1917.35;2424;5676;17596;6055;
2023-02-21 15:28:15;25.13;730.79;33.75;-127;17607;0;0;5008.99;7203;2294.43;3186;6587;20630;6840;
2023-02-21 15:29:13;25.25;730.79;33.84;10.06;17593;0;0;5064.65;6818;2175.26;2997;6286;19678;6574;
